SZ 35  (606,1260)  (584,1280)  (584,1259)  (627,1281)  (606,1240)  (628,1240)  (628,1260)  (582,1239)  (605,1301)  (583,1301)  (562,1280)  (562,1259)  (649,1281)  (649,1302)  (627,1302)  (561,1302)  (604,1219)  (626,1219)  (648,1219)  (650,1240)  (650,1260)  (560,1239)  (560,1218)  (582,1218)  (670,1205)  (605,1322)  (583,1322)  (540,1281)  (540,1260)  (671,1281)  (671,1302)  (671,1323)  (649,1323)  (627,1323)  (561,1323)  (539,1323)  (539,1302)  (672,1226)  (672,1247)  (538,1240)  (538,1219)  (692,1205)  (518,1281)  (518,1260)  (693,1268)  (693,1288)  (693,1309)  (693,1330)  (517,1336)  (517,1315)  (694,1226)  (694,1247)  (516,1240)  (516,1219)  (714,1205)  (496,1294)  (496,1273)  (715,1268)  (715,1288)  (715,1309)  (715,1330)  (495,1336)  (495,1315)  (716,1226)  (716,1247)  (494,1252)  (494,1231)  (494,1210)  (736,1205)  (474,1294)  (474,1273)  (737,1268)  (737,1288)  (737,1309)  (737,1330)  (473,1336)  (473,1315)  (738,1226)  (738,1247)  (472,1252)  (472,1231)  (472,1210)  | overflowToLeft=false
Charleston  (376,1042)  (354,1062)  (354,1041)  (397,1063)  (376,1021)  (398,1025)  (375,1083)  | overflowToLeft=false
SZ 34  (952,1399)  (930,1419)  (930,1398)  (973,1420)  (952,1378)  (974,1378)  (974,1399)  (928,1377)  (951,1440)  (929,1440)  (908,1419)  (908,1398)  (995,1420)  (995,1441)  (973,1441)  (907,1441)  (950,1357)  (972,1357)  (994,1357)  (996,1378)  (996,1399)  (906,1377)  (906,1357)  (928,1357)  (1016,1338)  (951,1461)  (929,1461)  (886,1420)  (886,1399)  (1017,1420)  (1017,1441)  (1017,1462)  (995,1462)  (973,1462)  (907,1462)  (885,1462)  (885,1441)  (950,1337)  (972,1337)  (994,1337)  (1018,1359)  (1018,1380)  (884,1378)  (884,1357)  (884,1337)  (906,1336)  (928,1336)  (1038,1322)  (951,1482)  (929,1482)  (864,1420)  (864,1399)  (1039,1401)  (1039,1422)  (1039,1443)  (1039,1464)  (1017,1483)  (995,1483)  (973,1483)  (907,1483)  (885,1483)  (863,1483)  (863,1462)  (863,1441)  (1040,1343)  (1040,1364)  (862,1378)  (862,1357)  (862,1337)  (1041,1484)  (1060,1322)  (951,1503)  (929,1503)  (842,1420)  (842,1399)  (1061,1385)  (1061,1406)  (1061,1426)  (1061,1447)  (1019,1503)  (997,1503)  (975,1503)  (907,1503)  (885,1503)  (841,1474)  (841,1454)  (1062,1343)  (1062,1364)  (840,1378)  (840,1357)  (840,1337)  (1063,1468)  (1063,1489)  (1041,1505)  (1068,1510)  (1082,1322)  (820,1433)  (820,1412)  (1083,1385)  (1083,1406)  (1083,1426)  (1083,1447)  (1084,1343)  (1084,1364)  (818,1391)  (818,1370)  (818,1349)  (818,1328)  (1085,1468)  (1085,1489)  (1090,1510)  (1104,1322)  (798,1432)  (1105,1385)  (1105,1406)  (1105,1426)  (1105,1447)  (1106,1343)  (1106,1364)  (796,1411)  (796,1390)  (796,1369)  (796,1348)  (796,1327)  (1107,1468)  (1107,1489)  (1112,1510)  (1126,1322)  (1127,1385)  (1127,1406)  (1127,1426)  (1127,1447)  (1128,1343)  (1128,1364)  (1129,1468)  (1129,1489)  (1134,1510)  | overflowToLeft=false
Belgrade  (2354,1207)  (2332,1221)  (2375,1228)  (2351,1186)  (2373,1186)  (2376,1207)  (2353,1242)  (2398,1215)  | overflowToLeft=false
SZ 33  (1192,1386)  (1170,1406)  (1170,1385)  (1213,1406)  (1192,1365)  (1214,1365)  (1214,1386)  (1168,1364)  (1191,1426)  (1169,1426)  (1235,1406)  (1235,1427)  (1213,1427)  (1190,1344)  (1212,1344)  (1234,1344)  (1236,1365)  (1236,1386)  (1161,1343)  (1191,1447)  (1169,1447)  (1257,1406)  (1257,1427)  (1257,1448)  (1235,1448)  (1213,1448)  (1183,1323)  (1205,1323)  (1227,1323)  (1258,1369)  (1161,1322)  (1249,1316)  (1191,1468)  (1169,1468)  (1279,1390)  (1279,1411)  (1279,1432)  (1279,1453)  (1257,1469)  (1235,1469)  (1213,1469)  (1183,1302)  (1205,1302)  (1227,1302)  (1161,1301)  (1284,1474)  (1191,1489)  (1169,1489)  (1301,1383)  (1301,1404)  (1301,1425)  (1301,1445)  (1262,1490)  (1240,1490)  (1218,1490)  (1183,1281)  (1205,1281)  (1227,1281)  (1161,1280)  (1306,1466)  (1306,1487)  (1284,1494)  (1320,1508)  (1196,1510)  (1174,1510)  (1323,1392)  (1323,1413)  (1323,1434)  (1262,1511)  (1240,1511)  (1218,1511)  (1183,1260)  (1205,1260)  (1227,1260)  (1161,1259)  (1328,1454)  (1328,1475)  (1298,1515)  (1342,1496)  (1342,1517)  (1183,1240)  (1205,1240)  (1227,1240)  (1161,1239)  (1350,1462)  (1183,1219)  (1205,1219)  (1227,1219)  (1161,1218)  (1249,1215)  (1271,1203)  (1293,1201)  (1183,1198)  (1205,1198)  (1227,1198)  (1161,1197)  (1249,1194)  (1271,1182)  (1293,1181)  (1183,1177)  (1205,1177)  (1227,1177)  (1161,1176)  (1249,1173)  (1315,1171)  (1271,1161)  (1293,1160)  (1183,1156)  (1205,1156)  (1227,1156)  (1161,1155)  (1249,1152)  (1315,1151)  | overflowToLeft=false
SZ 32  (938,1165)  (916,1185)  (916,1164)  (959,1186)  (938,1144)  (960,1144)  (960,1165)  (914,1143)  (937,1206)  (915,1206)  (894,1185)  (894,1164)  (981,1186)  (981,1207)  (959,1207)  (893,1207)  (936,1123)  (958,1123)  (980,1123)  (982,1144)  (982,1165)  (892,1143)  (892,1122)  (914,1122)  (1002,1104)  (937,1227)  (915,1227)  (872,1186)  (872,1165)  (1003,1186)  (1003,1207)  (1003,1228)  (981,1228)  (959,1228)  (893,1228)  (871,1228)  (871,1207)  (936,1103)  (958,1103)  (980,1103)  (1004,1125)  (1004,1146)  (870,1144)  (870,1123)  (870,1103)  (892,1102)  (914,1102)  (1002,1083)  (1024,1083)  (1024,1104)  (937,1248)  (915,1248)  (850,1186)  (850,1165)  (1025,1167)  (1025,1188)  (1025,1209)  (1025,1230)  (1003,1249)  (981,1249)  (959,1249)  (893,1249)  (871,1249)  (849,1249)  (849,1228)  (849,1207)  (849,1082)  (936,1082)  (958,1082)  (980,1082)  (1026,1125)  (1026,1146)  (848,1144)  (848,1123)  (848,1103)  (871,1081)  (893,1081)  (1026,1250)  (1046,1075)  (1046,1096)  (937,1269)  (915,1269)  (828,1186)  (828,1165)  (1047,1167)  (1047,1188)  (1047,1209)  (1047,1230)  (1004,1269)  (982,1269)  (960,1269)  (893,1269)  (871,1269)  (849,1269)  (827,1269)  (827,1249)  (827,1228)  (827,1207)  (827,1082)  (1048,1117)  (1048,1138)  (826,1144)  (826,1123)  (826,1103)  (1048,1250)  (1048,1271)  (1026,1271)  (1068,1075)  (1068,1096)  (938,1289)  (916,1289)  (806,1186)  (806,1165)  (1069,1159)  (1069,1180)  (1069,1201)  (1069,1221)  (1004,1290)  (982,1290)  (960,1290)  (894,1290)  (872,1290)  (850,1290)  (828,1290)  (806,1290)  (805,1269)  (805,1249)  (805,1228)  (805,1207)  (805,1082)  (1069,1117)  (1069,1138)  (804,1144)  (804,1123)  (804,1103)  (1070,1242)  (1070,1263)  (1070,1284)  (1048,1292)  (1026,1292)  (784,1299)  (1090,1075)  (1090,1096)  (784,1186)  (784,1165)  (1091,1159)  (1091,1180)  (1091,1201)  (1091,1221)  (783,1279)  (783,1258)  (783,1237)  (783,1216)  (783,1082)  (1091,1117)  (1091,1138)  (782,1144)  (782,1123)  (782,1103)  (1092,1242)  (1092,1263)  (1092,1284)  (1112,1075)  (1112,1096)  (1113,1159)  (1113,1180)  (1113,1201)  (1113,1221)  (1113,1117)  (1113,1138)  (1114,1242)  (1114,1263)  (1114,1284)  (1134,1075)  (1134,1096)  (1135,1159)  (1135,1180)  (1135,1201)  (1135,1221)  (1135,1117)  (1135,1138)  (1136,1242)  (1136,1263)  (1136,1284)  | overflowToLeft=false
SZ 39  (92,1379)  (70,1399)  (70,1378)  (113,1400)  (92,1358)  (114,1358)  (114,1379)  (68,1357)  (91,1420)  (69,1420)  (135,1400)  (124,1421)  (136,1342)  (136,1363)  (102,1441)  (80,1441)  (157,1384)  (157,1405)  (158,1342)  (158,1363)  (112,1462)  (90,1462)  (68,1462)  (101,1483)  (79,1483)  (64,1503)  | overflowToLeft=false
SZ 37  (171,1247)  (149,1267)  (149,1246)  (192,1268)  (171,1226)  (193,1226)  (193,1247)  (147,1225)  (170,1288)  (148,1288)  (127,1267)  (127,1246)  (214,1268)  (208,1288)  (126,1288)  (169,1205)  (191,1205)  (213,1205)  (215,1226)  (215,1247)  (125,1225)  (125,1204)  (147,1204)  (235,1186)  (186,1308)  (164,1308)  (105,1268)  (105,1247)  (142,1309)  (120,1309)  (104,1288)  (176,1184)  (198,1184)  (237,1207)  (237,1228)  (237,1249)  (103,1226)  (103,1205)  (103,1184)  (98,1316)  (220,1165)  (242,1165)  (257,1186)  (83,1268)  (83,1247)  (82,1295)  (192,1163)  (259,1207)  (259,1228)  (81,1226)  (81,1205)  (81,1184)  (76,1319)  (218,1144)  (279,1168)  (61,1274)  (61,1253)  (60,1298)  (281,1189)  (281,1210)  (303,1181)  | overflowToLeft=false
SZ 36  (294,1282)  (272,1302)  (272,1281)  (315,1303)  (294,1261)  (316,1261)  (316,1282)  (293,1323)  (271,1323)  (250,1302)  (337,1303)  (337,1324)  (315,1324)  (249,1324)  (299,1240)  (321,1240)  (338,1279)  (359,1316)  (359,1337)  (266,1345)  (244,1345)  (227,1324)  (222,1349)  (381,1329)  (381,1350)  (255,1366)  (233,1370)  (211,1370)  (200,1349)  (401,1205)  (403,1322)  (403,1343)  (407,1226)  (410,1291)  (411,1256)  (423,1205)  (423,1364)  (425,1312)  (425,1333)  (429,1226)  (432,1277)  (433,1247)  (445,1205)  (445,1354)  (445,1375)  (447,1298)  (447,1318)  | overflowToLeft=false
Wales  (1696,585)  (1717,605)  (1695,605)  (1701,564)  (1718,585)  (1723,561)  | overflowToLeft=false
England  (1774,559)  (1752,579)  (1752,558)  (1795,580)  (1774,538)  (1796,538)  (1796,559)  (1751,537)  (1770,600)  (1817,580)  (1773,517)  (1754,621)  (1758,497)  (1780,497)  (1732,637)  (1773,476)  (1710,647)  (1688,651)  (1751,658)  (1666,654)  (1644,657)  | overflowToLeft=false
